"IdOffer","title","name","location","level","req","contract","link"
"9606","Technicien IT","Intelcia ITS","Meknes","Bac +2","linux","CDI","/offre-emploi-technicien-it---meknes-recrutement-intelcia-its-meknes-131970.html"
"9601","Ingénieur Test et recette Sénior","ALTEN Maroc","Fès",,"jira , agile","CDI","/offre-emploi-ingenieur-test-et-recette-senior-recrutement-alten-maroc-fes-130770.html"
"9602","Analyste fonctionnel / Testeur confirmé","ALTEN Maroc","Fès",,"jira","CDI","/offre-emploi-analyste-fonctionnel-testeur-confirme-recrutement-alten-maroc-fes-130771.html"
"9603","Ingénieur Modélisation","ALTEN Maroc","MBD",,"python","CDI","/offre-emploi-ingenieur-modelisation---mbd-recrutement-alten-maroc-rabat-131530.html"
"9604","Analyste fonctionnel / Testeur confirmé","ALTEN Maroc","Rabat",,"jira","CDI","/offre-emploi-analyste-fonctionnel-testeur-confirme-recrutement-alten-maroc-rabat-130769.html"
"9599","Microsoft System Administrator","ALTEN Maroc","Rabat",,"azure","CDI","/offre-emploi-microsoft-system-administrator-recrutement-alten-maroc-rabat-130942.html"
"9591","Ingénieur Etudes et Développement Java/Angular Senior (H/F)","Umanis","Casablanca","Bac +5 et plus","java , angular , agile","CDI","/offre-emploi-ingenieur-etudes-et-developpement-javaangular-senior-hf-recrutement-umanis-casablanca-130566.html"
"9592","Développeur Java","Eumatech","Casablanca","Bac +5 et plus","sql , java , hibernate , angular , git , maven , springboot , jira","CDI","/offre-emploi-developpeur-java-recrutement-eumatech-casablanca-132035.html"
"9593","Scrum Master (H/F)","Oceane Consulting","Casablanca","Bac +5 et plus - Master","scrum","CDI","/offre-emploi-scrum-master-hf-recrutement-oceane-consulting-casablanca-132010.html"
"9594","Développeur Cobol/Mainframe","DXC Technology Maroc","Technopolis, Salé","Bac +4","cobol","CDI","/offre-emploi-developpeur-cobolmainframe-recrutement-dxc-technology-maroc-technopolis-sale-132030.html"
"9595","Administrateur Système H/F","Sitel Group","Casablanca","Bac +3 - Ecole d'ingénieur","python , git , docker , linux","CDI","/offre-emploi-administrateur-systeme-hf-recrutement-sitel-group-casablanca-132018.html"
"9575","SCRUM MASTER","Manpower Agences","RABAT","Bac +5 et plus - Formation continue","javascript , react , scrum , agile","CDI","/offre-emploi-scrum-master-recrutement-manpower-agences-rabat-132072.html"
"9576","INGENIEUR SUPPORT GERMANOPHONE","Manpower Agences","RABAT","Bac +5 et plus - Formation continue","sql , git , unix","CDI","/offre-emploi-ingenieur-support-germanophone-recrutement-manpower-agences-rabat-132071.html"
"9577","INGENIEUR SUPPORT HISPANOPHONE","Manpower Agences","RABAT","Bac +5 et plus - Formation continue","sql , git , unix","CDI","/offre-emploi-ingenieur-support-hispanophone-recrutement-manpower-agences-rabat-132068.html"
"9578","Ingénieur Concepteur Développeur .Net (H/F)","SQLI Maroc","Oujda",,"html5 , js , azure","CDI","/offre-emploi-ingenieur-concepteur-developpeur-.net-hf-recrutement-sqli-maroc-oujda-130862.html"
"9579","ingénieur support (Unix/SQL)","Sofrecom Services Maroc","Casablanca","Bac +5 et plus","sql , oracle , plsql , unix , linux","CDI","/offre-emploi-ingenieur-support-unixsql-recrutement-sofrecom-services-maroc-casablanca-132069.html"
"9572","Ingénieur Développement Java Senior (H/F)","Atos","Casablanca","Bac +5 et plus","java , jee , hibernate , angular , mysql , oracle , vuejs , spring , jpa , unix , agile","CDI","/offre-emploi-ingenieur-developpement-java-senior-hf-recrutement-atos-casablanca-131631.html"
"9574","INGENIEUR DEVOPS","Manpower Agences","RABAT","Bac +5 et plus - Formation continue","docker , nodejs , linux","CDI","/offre-emploi-ingenieur-devops-recrutement-manpower-agences-rabat-132079.html"
"9573","Leader Technique Java Fullstack (H/F)","Atos","Casablanca","Bac +5 et plus","java , angular , docker , springboot , kafka , agile","CDI","/offre-emploi-leader-technique-java-fullstack-hf-recrutement-atos-casablanca-130809.html"
"9569","Développeur Adobe Expérience Manager (AEM) (Back/Front)","Deloitte Nearshore","Casablanca","Bac +5 et plus - Ecole d'ingénieur","java , angular , html , css , html5 , css3 , javascript , vuejs , j2ee","CDI","/offre-emploi-developpeur-adobe-experience-manager-aem-backfront-recrutement-deloitte-nearshore-casablanca-131646.html"
"9568","PRODUCT OWNER","Manpower Agences","RABAT","Bac +5 et plus - Formation continue","javascript , power bi , agile","CDI","/offre-emploi-product-owner-recrutement-manpower-agences-rabat-132102.html"
"9564","Administrateur Support Office 365",,"Casablanca","Bac +5 et plus - Ecole d'ingénieur","sql , sql server","CDI","/offre-emploi-administrateur-support-office-365-recrutement-energetic-link-casablanca-132107.html"
"9563","Testeur Fonctionnel (H/F)","Atos","Casablanca","Bac +4","mysql , jira , agile","CDI","/offre-emploi-testeur-fonctionnel-hf-recrutement-atos-casablanca-130806.html"
"9561","Ingénieur PHP Natif (H/F)","Atos","Casablanca","Bac +4","mysql , php , git , docker , symfony , kafka , drupal , kubernetes , agile","CDI","/offre-emploi-ingenieur-php-natif-hf-recrutement-atos-casablanca-130807.html"
"9559","Testeur/Automaticien Robot Confirmé (H/F)","Atos","Casablanca","Bac +5 et plus - Ecole d'ingénieur","python , git , jenkins , agile","CDI","/offre-emploi-testeurautomaticien-robot-confirme-hf-recrutement-atos-casablanca-130810.html"
"9560","Ingénieur Etudes et Développement PHP full stack Sénior","Atos","Casablanca","Bac +5 et plus - Master","php , symfony , agile","CDI","/offre-emploi-ingenieur-etudes-et-developpement-php-full-stack-senior-recrutement-atos-casablanca-130808.html"
"9556","Développeur Java","Sofrecom Services Maroc","Casablanca","Bac +5 et plus","sql , java , git , spring , jira , unix , linux","CDI","/offre-emploi-developpeur-java-recrutement-sofrecom-services-maroc-casablanca-132149.html"
"9557","DevOps Engineer","Leyton","Casablanca","Bac +5 et plus - Master","docker , kubernetes , jenkins , unix , linux","CDI","/offre-emploi-devops-engineer-recrutement-leyton-casablanca-132147.html"
"9558","Ingénieurs en transmission FH","ALTEN Maroc","Fès",,"linux","CDI","/offre-emploi-ingenieurs-en-transmission-fh-recrutement-alten-maroc-fes-132145.html"
"9554","Business Analyst Marketing (English Speaker)","Leyton","Casablanca","Bac +5 et plus - Master","html , css , agile","CDI","/offre-emploi-business-analyst-marketing-english-speaker-recrutement-leyton-casablanca-132150.html"
"9553","Développeur/Intégrateur WordPress","Webhelp Maroc","Rabat","Bac +2","html , css , javascript , jquery , php","CDI","/offre-emploi-developpeurintegrateur-wordpress-recrutement-webhelp-maroc-rabat-132155.html"
"9550","Ingénieur Logiciel DevOps ( H/F)","Oceane Consulting","Technopolis","Bac +5 et plus","mysql , python , docker , kubernetes , mariadb , linux","CDI","/offre-emploi-ingenieur-logiciel-devops-hf-recrutement-oceane-consulting-technopolis-132167.html"
"9548","Ingénieur Support Applicatif BI","Sofrecom Services Maroc","Casablanca","Bac +5 et plus","sql , oracle , plsql , unix , linux","CDI","/offre-emploi-ingenieur-support-applicatif-bi-recrutement-sofrecom-services-maroc-casablanca-132171.html"
"9541","Ingénieur études et développement .NET Azure (H/F)","Deloitte Nearshore","Casablanca","Bac +5 et plus","sql , azure , sql server","CDI","/offre-emploi-ingenieur-etudes-et-developpement-.net-azure-hf-recrutement-deloitte-nearshore-casablanca-132195.html"
"9547","Professional Product Developers (. Net)","Altados","TEC","Bac +5 et plus","sql , angular , react , docker , aws , agile , sql server","CDI","/offre-emploi-professional-product-developers-.-net--tec---recrutement-altados-casablanca-131405.html"
"9544","Technical Business Analyst","Altados","TEC","Bac +5 et plus","sql , scrum , agile , sql server","CDI","/offre-emploi-technical-business-analyst--tec---recrutement-altados-casablanca-131591.html"
"9543","Ingenieur Full Stack OU JS","Manpower Agences","RABAT","Bac +5 et plus - Master","hibernate , angular , html5 , javascript , typescript , spring","CDI","/offre-emploi-ingenieur-full-stack-ou-js-recrutement-manpower-agences-rabat-132199.html"
